Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags
2017-04-07 13:45:13.750,0.0,TCP,192.168.220.14,32831,16972_85,80,1,66,1,.A....
2017-04-10 07:27:42.455,0.004,TCP,192.168.220.12,43950,192.168.100.5,445,2,174,1,.AP...
2017-04-07 14:11:33.851,0.004,UDP,192.168.220.15,57277,DNS,53,2,154,1,......
2017-04-06 12:44:28.353,0.0,TCP,192.168.220.13,48074,11295_129,443,1,66,1,.A....
2017-04-10 07:11:16.181,0.0,UDP,192.168.220.15,45120,DNS,53,2,168,1,......
2017-04-07 16:09:00.884,0.0,TCP,11014_185,443,192.168.220.8,59467,1,66,1,.A....
2017-04-06 16:00:24.968,0.08,TCP,10954_31,443,192.168.220.13,40508,11,12230,1,.AP.S.
2017-04-10 07:17:46.473,0.0,TCP,10223_4,80,192.168.210.5,59413,1,54,1,.A....
2017-04-10 15:51:01.530,0.026,TCP,192.168.220.14,54366,11046_154,443,5,650,1,.AP...
2017-04-10 06:07:52.061,0.0,UDP,192.168.210.5,52486,DNS,53,1,75,1,......
2017-04-10 17:15:31.755,0.0,TCP,10026_175,80,192.168.220.9,44547,1,66,1,.A....
2017-04-11 15:53:54.842,0.0,UDP,192.168.200.4,36267,DNS,53,1,75,1,......
2017-04-10 10:46:44.134,0.0,TCP,10438_216,80,192.168.220.14,45987,1,54,1,.A...F
2017-04-05 13:08:06.831,0.0,TCP,10022_175,443,192.168.220.12,57422,3,229,1,.AP..F
2017-04-07 00:06:46.897,0.307,TCP,192.168.200.9,62125,14645_180,443,8,1219,1,.AP.S.
2017-04-11 19:39:17.250,0.0,TCP,10261_64,443,192.168.210.5,60192,1,66,1,.A....
2017-04-07 16:21:24.257,0.001,UDP,DNS,53,192.168.220.13,45885,2,277,1,......
2017-04-05 12:05:30.608,0.072,TCP,192.168.220.6,55653,16447_187,443,5,613,1,.AP.S.
