host_id,window_start,ingressBytes_sampled,egressBytes_sampled,inRxmitBytes_sampled,outRxmitBytes_sampled,inCongestionBytes_sampled,connections_sampled,ingressBytes_0,ingressBytes_1,ingressBytes_2,ingressBytes_3,ingressBytes_4,ingressBytes_5,ingressBytes_6,ingressBytes_7,ingressBytes_8,ingressBytes_9,ingressBytes_10,ingressBytes_11,ingressBytes_12,ingressBytes_13,ingressBytes_14,ingressBytes_15,ingressBytes_16,ingressBytes_17,ingressBytes_18,ingressBytes_19,ingressBytes_20,ingressBytes_21,ingressBytes_22,ingressBytes_23,ingressBytes_24,ingressBytes_25,ingressBytes_26,ingressBytes_27,ingressBytes_28,ingressBytes_29,ingressBytes_30,ingressBytes_31,ingressBytes_32,ingressBytes_33,ingressBytes_34,ingressBytes_35,ingressBytes_36,ingressBytes_37,ingressBytes_38,ingressBytes_39,ingressBytes_40,ingressBytes_41,ingressBytes_42,ingressBytes_43,ingressBytes_44,ingressBytes_45,ingressBytes_46,ingressBytes_47,ingressBytes_48,ingressBytes_49
42,0,311,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1000,972,105457,0,0,0,16,0,414,71,0,146,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,572828,757966,0,0,0,588,8687,9877,14460,19254,3915,25537,30256,2366,22917,38768,25683,25178,17005,10511,11212,3098,6096,20441,22507,10838,11821,9927,126,4719,15192,14380,3614,172,172,692,3920,13722,11728,588,742,8106,8469,45,7590,22072,18436,3646,5961,7233,6028,18786,20317,6756,5627,13635
80,0,1349250,989197,0,0,0,2534,10766,12764,12821,29901,36620,49801,41434,16396,24227,22131,13076,15891,18924,24354,14067,40953,30575,32182,191947,123168,17628,29890,32761,20270,32413,24923,11800,16835,28036,27373,17874,15900,19903,15345,31487,28885,16417,9853,9910,12037,21325,21938,17237,13070,11740,14162,21563,16938,15485,14254
55,0,238070,33435546,0,0,0,241,471,518,194,355,491,377,8,65508,18854,688,753,1477,709,1153,1113,1463,1078,801,455,887,797,765,299,651,297,6,535,678,222,4,0,551,2418,314,181,4005,292,625,2535,2826,233,102801,17089,954,182,3,216,5,252,981
85,500,9340881,4927120,0,0,249420,391,0,526,55201,113409,52523,0,0,129731,179889,0,154336,657692,658176,70839,23500,20530,31540,32741,12266,4442,58495,127726,120921,140321,130046,75094,208914,296312,110314,40979,77801,202774,340907,311933,301768,620427,496403,161642,211033,442790,363121,142930,237737,462861,430641,546770,345236,101529,32771,3344
47,500,499307,4482569,0,0,0,1610,0,104,508,44,434,1245,1023,814,14,131,294,0,0,8796,75573,162345,13080,45,8138,38376,0,0,0,60,11624,55283,1946,1211,333,0,0,0,0,0,0,31,166,102,166,71,0,0,325,21157,95070,727,71,0,0,0
11,0,1527200,4474798,0,0,0,120,36254,246,502,2708,116132,138492,24112,24810,25686,1011,7769,9239,9164,7660,0,0,3006,6443,3439,0,0,0,0,0,0,0,0,854,75845,199753,311492,309339,123934,3176,1734,0,0,171,301,36118,36278,0,0,0,0,0,214,3882,5367,2069
24,1000,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
74,1000,352,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,169091,528213,0,0,0,520,2924,87,256,160,6842,2698,661,3411,0,123,3500,6555,6649,3317,46,4220,1287,5743,256,253,4,428,285,1096,178,798,3223,4128,999,13994,3947,3948,10416,127,3792,130,4280,14088,3998,717,3558,10311,261,673,7063,5813,1197,5585,5241,9825
22,500,37839579,45693588,0,40866,562400,886,741628,758590,567730,340418,475611,609658,928942,1261046,1230871,1054680,1109464,1010564,1003499,445671,310185,439222,666564,598043,577059,285999,285351,285528,560107,569190,673280,572593,715917,1113319,970686,733601,1019520,649455,388887,343567,737857,570666,780314,677190,700928,1004748,1027533,905899,857648,910638,866106,910999,965762,1169285,1084023,1373538
77,500,9180964,10566504,0,0,0,1489,18554,19065,25028,327962,507290,149925,56509,29036,40560,21987,205249,379317,113506,22976,30779,120107,332302,111205,658231,524623,117864,155105,319085,188494,276200,68008,20478,185474,117825,152844,83416,13501,64453,143178,32984,70053,202613,26672,137231,192066,36344,14103,87961,251156,89929,111281,126546,1096923,819593,285373
59,0,777,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,332,0,0,0,0,0,0,0,0,0,0,0,0
56,0,312,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,500,2181658,9118405,1513,2964,0,25998,43394,42005,43420,34168,30993,30217,34318,42932,34842,36371,43916,36148,43978,45820,37648,42430,49955,46773,34591,33864,41002,39314,33400,35240,40333,50243,60485,58333,45328,44313,55420,54491,45594,41151,45424,48371,43593,45621,49870,39791,40942,40777,38056,46890,50194,51519,53172,51080,50182,53746
45,1000,3677017,8414067,0,0,0,1147,19249,4134,12319,22310,25160,45295,75348,60829,141115,149087,11873,156125,513020,84112,16993,98234,144722,11912,47425,302987,562977,435628,174415,48426,25089,50370,6953,3002,2248,5677,7190,1148,7915,13408,82884,42150,92268,644,399,3123,5721,5760,9807,10446,44158,27446,1668,1823,12791,49234
36,1000,7318,15955,0,0,0,4,899,2587,69,0,0,0,0,0,0,61,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,2725,69
50,0,3537622,3649596,0,0,0,199,0,0,3256,252170,49415,157,28,0,489,917,2764,54900,246539,199674,401971,75203,2993,353175,242961,34090,71,14,1265,53016,11617,55307,10801,53865,27846,3389,0,0,0,31661,6498,120012,129162,75330,12938,143788,82155,66924,13931,52114,93262,17482,61089,29704,40877,422802
22,0,2267,743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,188,0,0,0,233,267,0,0,155,342,188,0,0,0,146,167,0,0,0,194,223,0,0,0,0
54,1000,1473530,2211684,0,619,0,4216,56987,32343,67998,24200,32300,31133,40193,72899,21512,47266,33830,35988,40316,29603,28365,32616,26585,19644,19684,18377,13323,16769,18257,18716,23618,23755,19843,32277,39084,14950,16869,14581,19803,25153,50024,94552,48133,28561,31743,34357,31337,23748,17218,18991,26692,14036,11287,9885,10303,13826
28,0,37,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
32,500,5909,439287,0,0,0,282,4,553,537,85,1,171,86,85,0,85,1,170,1,171,86,172,172,255,0,0,85,2,221,86,85,0,85,0,0,0,85,0,0,86,171,85,0,86,86,86,86,136,86,85,4,513,258,344,342,171
33,1000,460081,2518877,0,31,0,2667,8038,3630,6349,3470,1317,1874,5443,6576,14675,7594,6147,6586,9399,8489,8183,19861,11965,7985,12634,7666,6318,5663,5603,9175,6653,12390,6511,7197,11799,5944,17052,11331,11614,12271,13702,14210,13840,8523,10992,5485,8433,9051,5452,13677,8721,11374,18095,9495,11394,10235
61,1000,3120610,2151194,0,0,0,3976,33942,19984,12736,83675,104188,91047,31635,32607,20152,55672,136584,51392,18277,17601,23443,39090,47604,27294,26769,27534,21827,27303,48019,30682,17950,18910,127766,196234,85087,48877,55205,82913,110295,149445,93786,50730,186422,94330,51310,29265,72094,32665,26368,75391,179337,63955,23967,68462,87055,63734
11,1000,11030874,31834,611,609,23019,29,300582,1316201,1176602,999931,963232,1069875,1175169,1181521,825653,68128,0,0,0,32092,3098,7,78,86,7,2131,279,7,0,0,0,752,70,0,0,0,0,0,0,0,0,117781,69973,14913,109448,10215,0,58890,66130,123482,74232,5941,0,566,147104,1116698
87,1000,4211,24910,0,0,0,53,1387,118,45,0,0,114,261,102,0,0,0,0,0,0,0,315,362,735,399,40,0,0,0,0,0,0,0,0,0,0,0,0,0,222,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1000,620484,6709482,0,0,0,9871,11257,12158,10722,9843,9116,11692,9370,13443,15243,13724,13962,9966,10713,10539,12002,11227,10276,12026,10298,11891,11406,14891,18067,16642,14757,13258,12230,9918,11825,11620,11416,13808,10879,9756,15129,14436,12478,12955,16638,13709,14079,16513,13607,13916,8318,12164,11188,12743,10603,12067
60,500,1497804,4033306,0,1194,0,3246,19954,12911,22975,19257,8619,13165,7731,18579,11219,8812,8501,36984,5624,12624,9811,15116,12528,21545,13255,58261,7722,30337,11473,14130,7050,13525,9824,15502,16203,9258,11269,13343,35769,69271,14658,12375,20045,13061,10777,11278,10631,10371,9722,13579,46012,323085,354385,10327,22938,12413
32,1000,221745,841043,0,1437,0,645,130,126,256,6978,12340,9240,3919,5154,7218,4403,2467,7029,9081,3784,3868,4078,2389,2464,5628,3853,2261,7242,5297,484,3837,10406,10420,3572,1522,1628,1671,9516,8465,3932,8987,10421,5245,2144,2175,362,1765,3455,1931,429,2253,8326,6966,388,126,2114
