server_hostname,window,stride,ingressBytes_aggregate,inRxmitBytes_aggregate,inCongestionBytes_aggregate,connections_aggregate,ingressBytes_0,ingressBytes_1,ingressBytes_2,ingressBytes_3,ingressBytes_4,ingressBytes_5,ingressBytes_6,ingressBytes_7,ingressBytes_8,ingressBytes_9
60630,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178937,10,5,230001,80199,85,390,21726,21151,23060,25433,23532,23308,20068,24733,24050,22940
158427,10,5,0,0,0,718,0,0,0,0,0,0,0,0,0,0
106442,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6977,10,5,1753484,0,0,300,173266,186688,194921,190632,203293,238656,166200,151945,118671,129212
22512,10,5,345451,0,0,1587,17168,3436,136830,5061,4384,9427,7305,73072,11949,76819
199187,10,5,378488,0,0,1395,12232,26514,31033,46144,38416,19668,26285,30741,56316,91139
186974,10,5,352,0,0,0,0,0,20,332,0,0,0,0,0,0
160472,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129142,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3320,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185602,10,5,264563,0,0,1908,26162,19800,19290,18027,24063,30215,32682,29190,33149,31985
119266,10,5,203258,0,0,26,258,420,1012,1515,1656,2399,2544,1666,49128,142660
176598,10,5,270437,0,0,857,26750,22000,27173,32459,29446,30678,30565,22441,23491,25434
165813,10,5,10739731,0,1915141,458,235307,290947,1155353,1032463,1481098,1408939,1465221,1251057,1094748,1324598
9750,10,5,0,0,0,134,0,0,0,0,0,0,0,0,0,0
138778,10,5,3906012,0,0,34,268354,433685,301157,293145,253490,181678,268871,518376,665988,721268
182653,10,5,13905046,0,1835407,63,1497486,1270745,1334138,1334463,1466128,1469583,1441978,1233712,1406498,1450315
77097,10,5,276801,0,0,505,21800,26206,35428,22668,8530,12667,29217,70864,17363,32058
89770,10,5,34262,0,0,158,2131,2890,3428,6203,4137,2354,3113,1967,1678,6361
122766,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130734,10,5,266,0,0,8,0,120,50,0,0,0,0,0,68,28
90099,10,5,376031,0,0,7,247,78870,195358,107,325,144,64,258,328,100330
66172,10,5,387326,0,0,37,289465,76255,4442,0,0,844,5166,6333,3818,1003
195408,10,5,353,0,0,0,0,0,0,0,0,0,0,0,64,289
67530,10,5,108493,0,0,12,8927,8632,428,34922,53921,386,701,191,153,232
