Source_Port,Destination_Port,Protocol,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Min_Packet_Length,Max_Packet_Length,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_fwd,Init_Win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min
59681,443,6,713.0,479.0,469.0,0.0,71.3,147.2874,341.0,0.0,95.8,149.5299,7636.07,9560.223,23812.0,3.0,83465.0,9281.11,11499.299,25718.0,3.0,50413.0,12603.25,13533.739,23333.0,393.0,0,0,0,0,0.0,469.0,0,0,0,1,0,0,0,0,0.0,79.4667,71.3,95.8,0,0,0,0,0,0,10,713,5,479,65535,972,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59340,53,17,60.0,92.0,30.0,30.0,30.0,0.0,46.0,46.0,46.0,0.0,49.0,79.674,141.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,30.0,46.0,0,0,0,0,0,0,0,0,1.0,45.5,30.0,46.0,0,0,0,0,0,0,2,60,2,92,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37112,443,6,123.0,46.0,46.0,0.0,24.6,23.2766,46.0,0.0,23.0,32.5269,777668.83,1730259.524,4231523.0,16.0,4359351.0,1097337.75,2158384.577,4231523.0,16.0,4309830.0,4309830.0,0.0,4309830.0,4309830.0,1,0,0,0,0.0,46.0,0,1,0,0,1,0,0,0,0.0,30.7143,24.6,23.0,0,0,0,0,0,0,5,123,2,46,329,357,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62039,443,6,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,0,0,0,0.0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50735,443,6,1474.0,43812.0,677.0,0.0,41.3158,144.7301,2896.0,0.0,1430.6875,627.8734,2145.14,4758.803,26335.0,0.0,125031.0,3871.74,6288.711,27101.0,1.0,90246.0,2597.14,6482.354,24730.0,48.0,0,0,0,0,0.0,2896.0,0,0,0,1,0,0,0,0,1.0,875.5322,41.3158,1430.6875,0,0,0,0,0,0,27,1474,32,43812,65535,126,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52267,443,6,562.0,4835.0,199.0,0.0,60.1333,78.1751,1397.0,0.0,647.875,695.6393,4359.69,6778.683,15175.0,2.0,68379.0,8795.62,9540.282,15526.0,47.0,43372.0,6368.57,8632.694,16624.0,2.0,0,0,0,0,0.0,1397.0,0,0,0,1,0,0,0,0,0.0,325.3478,60.1333,647.875,0,0,0,0,0,0,9,562,8,4835,8192,980,8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,56570,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,939,33304,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54144,443,6,18.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,69.33,87.65,166.0,3.0,209.0,104.5,133.198,206.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6.0,1,0,0,0,0,0,0,0,0.0,6.0,6.0,0.0,0,0,0,0,0,0,3,18,1,0,0,972,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54319,139,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8147.0,0.0,8147.0,8147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,65535,269,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,50172,6,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,0,0,0,0.0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,327,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43343,443,6,1568.0,31902.0,521.0,0.0,42.2174,103.9249,2896.0,0.0,1118.35,861.5787,1425265.77,3439775.03,10028980.0,3.0,118829998.0,2976610.86,4378646.907,10051935.0,3.0,113292077.0,2471578.25,4587361.411,10076067.0,48.0,0,0,0,0,0.0,2896.0,0,0,0,1,0,0,0,0,1.0,594.2445,42.2174,1118.35,0,0,0,0,0,0,37,1568,40,31902,29200,1139,6,32,382532.33,912122.102,3168276.0,30997.0,10022715.81,15510.14,10028980.0,10000657.0
443,51582,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,34852,63761,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51643,443,6,713.0,479.0,469.0,0.0,71.3,147.2874,341.0,0.0,95.8,149.5299,7906.21,13790.085,32961.0,3.0,109074.0,12270.0,16607.55,38708.0,3.0,66745.0,16636.25,18040.059,33877.0,503.0,0,0,0,0,0.0,469.0,0,0,0,1,0,0,0,0,0.0,79.4667,71.3,95.8,0,0,0,0,0,0,10,713,5,479,65535,972,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49619,53,17,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,59.33,97.372,172.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32.0,48.0,0,0,0,0,0,0,0,0,1.0,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
