Source_Port,Destination_Port,Protocol,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Min_Packet_Length,Max_Packet_Length,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_fwd,Init_Win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min
62997,53,17,124.0,167.0,32.0,32.0,32.0,0.0,87.0,87.0,87.3333,0.0,56798.6,44536.524,160171.0,1.0,189974.0,65921.33,15336.088,199960.0,48.0,4334.0,2554.4,145.0,3774.0,4.0,0,0,0,0,32.0,87.0,0,0,0,0,0,0,0,0,1.0,53.625,32.0,87.3333,0,0,0,0,0,0,4,124,4,167,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61498,53,17,55.0,26.0,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,30039.0,0.0,30031.0,30038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,55.0,66.0,0,0,0,0,0,0,0,0,1.0,98.0,55.0,66.0,0,0,0,0,0,0,1,55,1,26,-1,62851,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62047,443,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44265.0,0.0,84231.0,44235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,274,33304,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53010,80,6,1194.0,796.0,936.0,6.0,222.6,550.2744,766.0,0.0,67.25,1.953,1389848.16,3895170.439,9996661.0,64.0,5024852.0,4354955.71,4100641.643,9945310.0,149.0,40080.0,1876989.0,4516402.05,67013.0,4.0,0,0,0,0,0.0,766.0,0,0,0,1,0,0,0,0,0.0,89.66,222.6,94.25,0,0,0,0,0,0,5,1194,3,796,200,357,7,20,127224.0,0.0,400516.0,2326.0,5180703.0,10000000.0,9976549.0,5553121.0
62632,80,6,355.0,3165.0,206.0,0.0,71.5754,93.3612,1448.0,0.0,632.8,665.0603,1956288.66,3440899.087,10107016.0,2.0,16098191.0,3852736.42,4960731.681,10143919.0,11.0,65573470.0,3016942.85,4253094.216,10163434.0,2.0,0,0,0,0,0.0,1448.0,0,0,0,1,0,0,0,0,0.0,211.8667,71.55,682.8333,0,0,0,0,0,0,11,355,8,3165,65535,356,6,20,180940.5,37.0,100724.0,99539.0,10000286.0,0.0,10000670.0,5359300.0
443,51873,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,922,32832,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,57336,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,346,16428,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50856,53,17,90.0,182.0,45.0,45.0,45.0,0.0,91.0,91.0,91.0,0.0,65.0,77.333,214.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,45.0,91.0,0,0,0,0,0,0,0,0,1.0,86.25,45.0,91.0,0,0,0,0,0,0,2,90,2,182,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54337,443,6,964.0,4105.0,269.0,0.0,67.0,119.94,1080.0,0.0,98.0,9.549,96216.44,57963.346,109984.0,3.0,322867.0,76702.58,17928.556,146247.0,3.0,168071.0,30282.11,15244.474,22834.0,3.0,0,0,0,0,0.0,1080.0,0,0,0,1,0,0,0,0,0.0,75.5,67.0,78.0,0,0,0,0,0,0,12,964,5,4105,29200,4116,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51721,443,6,347.0,734.0,217.0,0.0,55.2,51.9593,432.0,2.0,92.0,17.7431,477102.16,1239050.027,5721501.0,3.0,5799686.0,489212.77,1778115.726,5750610.0,135.0,58453.0,26540.0,37904.003,29550.0,6774.0,0,0,0,0,0.0,731.0,0,0,0,1,0,0,0,0,0.0,86.3333,55.25,32.0,0,0,0,0,0,0,7,347,3,734,8192,30192,2,20,193000.0,0.0,330000.0,1.0,0.0,0.0,0.0,0.0
