Source_Port,Destination_Port,Protocol,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Min_Packet_Length,Max_Packet_Length,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_fwd,Init_Win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min
47959,53,17,68.0,200.0,34.0,34.0,34.0,0.0,100.0,100.0,100.0,0.0,10274.66,17973.946,31284.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,34.0,100.0,0,0,0,0,0,0,0,0,1.0,89.0,34.0,100.0,0,0,0,0,0,0,2,68,2,200,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55051,53,17,136.0,202.0,38.0,38.0,38.0,0.0,101.0,101.0,101.0,0.0,60.0,31.515,101.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,38.0,101.0,0,0,0,0,0,0,0,0,1.0,72.5,38.0,101.0,0,0,0,0,0,0,202,136,2,202,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48349,53,17,62.0,214.0,31.0,31.0,31.0,0.0,107.0,107.0,107.0,0.0,69.33,143.237,147.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,31.0,107.0,0,0,0,0,0,0,0,0,1.0,82.75,31.0,107.0,0,0,0,0,0,0,2,62,2,214,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51486,53,17,62.0,128.0,31.0,31.0,31.0,0.0,64.0,64.0,64.0,0.0,76.33,63.073,173.0,3.0,3.0,3.0,0.0,3.0,3.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,31.0,64.0,0,0,0,0,0,0,0,0,1.0,54.75,31.0,64.0,0,0,0,0,0,0,2,62,2,128,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41796,53,17,76.0,204.0,38.0,38.0,38.0,0.0,102.0,102.0,102.0,0.0,16051.66,20092.899,48040.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,38.0,102.0,0,0,0,0,0,0,0,0,1.0,72.0,38.0,102.0,0,0,0,0,0,0,2,76,2,204,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62914,53,17,80.0,148.0,40.0,40.0,40.0,0.0,76.0,76.0,76.0,0.0,31224.0,0.0,51224.0,31223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.0,76.0,0,0,0,0,0,0,0,0,1.0,77.0,40.0,76.0,0,0,0,0,0,0,1,80,1,148,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,57783,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,58.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,382,32832,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52412,53,17,64.0,518.0,32.0,32.0,32.0,0.0,204.0,204.0,204.0,0.0,52.66,67.61,139.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32.0,204.0,0,0,0,0,0,0,0,0,1.0,101.0,32.0,204.0,0,0,0,0,0,0,2,64,2,518,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52597,53,17,82.0,264.0,41.0,41.0,41.0,0.0,132.0,132.0,132.0,0.0,10365.33,17999.757,30560.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,41.0,132.0,0,0,0,0,0,0,0,0,1.0,92.25,41.0,132.0,0,0,0,0,0,0,2,82,2,264,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54852,443,6,776.0,3726.0,440.0,0.0,74.6667,189.3417,1418.0,0.0,744.6422,636.4915,7127.18,12696.404,38310.0,0.0,493232.0,15567.33,7376.556,33181.0,1.0,39765.0,5825.27,30778.058,57079.0,182.0,0,0,0,0,0.0,1418.0,0,0,0,1,0,0,0,0,0.0,348.42,74.6666,766.6429,0,0,0,0,0,0,13,776,15,3726,65535,114,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
