Source_Port,Destination_Port,Protocol,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Min_Packet_Length,Max_Packet_Length,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_fwd,Init_Win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min
51503,53,17,102.0,359.0,51.0,51.0,51.0,0.0,179.0,179.0,179.0,0.0,19101.0,13994.651,38401.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,51.0,179.0,0,0,0,0,0,0,0,0,1.0,155.25,51.0,179.0,0,0,0,0,0,0,2,102,2,359,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54821,53,17,64.0,180.0,32.0,32.0,32.0,0.0,90.0,90.0,90.0,0.0,54.33,99.128,134.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,32.0,90.0,0,0,0,0,0,0,0,0,1.0,73.0,32.0,90.0,0,0,0,0,0,0,2,64,2,180,-1,-1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46266,443,6,644.0,159.0,437.0,0.0,77.1143,155.7423,501.0,0.0,39.4,149.1568,1934.6,18288.971,23133.0,3.0,86533.0,9035.4,14228.238,33462.0,3.0,74046.0,19410.33,21475.575,81282.0,4.0,0,0,0,0,0.0,831.0,0,0,0,1,0,0,0,0,0.0,97.94,77.1,59.4,0,0,0,0,0,0,10,644,5,159,29200,123,7,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63211,443,6,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,155.0,153.0,166.0,119.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,1,0,0,0,1,0,0,0,0.0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,230,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,51397,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,103.0,0.0,103.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,970,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40358,443,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,21194.0,0.0,23193.0,21194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,1123,925,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47777,443,6,1441.0,241.0,403.0,0.0,45.8,194.3088,148.0,0.0,12.5,87.5632,13984.17,17871.292,23319.0,44.0,25343.0,28824.9,20077.635,65731.0,224.0,37749.0,20175.8,10069.938,46964.0,42.0,0,0,0,0,0.0,448.0,0,0,0,1,0,0,0,0,0.0,86.4667,45.8,12.5,0,0,0,0,0,0,11,1441,5,241,65535,368,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50135,443,6,31.0,6.0,31.0,0.0,10.3333,17.0103,6.0,6.0,6.0,0.0,6.5,28.113,8.0,1.0,1.0,1.0,4.433,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,31.0,0,0,0,0,1,0,0,0,0.0,13.6667,10.3333,6.0,0,0,0,0,0,0,3,31,1,6,245,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61354,53,17,117.0,144.0,58.0,58.0,58.0,0.0,144.0,144.0,144.0,0.0,63.0,0.0,64.0,48.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58.0,144.0,0,0,0,0,0,0,0,0,1.0,114.0,58.0,144.0,0,0,0,0,0,0,2,117,0,144,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61252,53,17,77.0,187.0,77.0,77.0,77.0,0.0,187.0,187.0,187.0,0.0,30344.0,0.0,30349.0,30341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,77.0,187.0,0,0,0,0,0,0,0,0,1.0,136.5,77.0,187.0,0,0,0,0,0,0,1,77,1,187,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
