Source_Port,Destination_Port,Protocol,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Min_Packet_Length,Max_Packet_Length,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_fwd,Init_Win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min
57634,53,17,130.0,200.0,45.0,45.0,45.0,0.0,100.0,100.0,100.0,0.0,36.15,157.636,216.0,19.0,48.0,48.66,7.0,48.0,48.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,45.0,100.0,0,0,0,0,0,0,0,0,0.0,71.1667,45.0,100.0,0,0,0,0,0,0,4,130,2,200,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63410,443,6,538.0,1536.0,272.0,0.0,57.375,79.7044,1460.0,0.0,472.3333,688.3202,11628.0,14872.029,44158.0,1.0,81853.0,13375.5,29274.987,39571.0,1.0,41518.0,32376.0,98300.016,99616.0,237.0,0,0,0,0,0.0,1460.0,0,0,0,1,0,0,0,0,1.0,246.4,57.3333,412.35,0,0,0,0,0,0,5,538,6,1536,65535,258,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40636,443,6,713.0,5156.0,457.0,0.0,71.3833,191.3004,1783.0,0.0,338.7112,516.5598,32104.53,61190.235,130567.0,1.0,274252.0,86070.66,21433.774,199490.0,2.0,244190.0,17120.4,47958.822,480962.0,259.0,0,0,0,0,0.0,1783.0,0,0,0,1,0,0,0,0,0.0,211.2654,71.3,1388.7,0,0,0,0,0,0,8,713,6,5156,65535,62,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,56373,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,22.0,0.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,118,251,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62671,53,17,43.0,123.0,43.0,43.0,43.0,0.0,123.0,123.0,123.0,0.0,30596.0,0.0,30596.0,30590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43.0,123.0,0,0,0,0,0,0,0,0,1.0,106.5,43.0,123.0,0,0,0,0,0,0,1,43,1,123,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39608,53,17,60.0,172.0,30.0,30.0,30.0,0.0,86.0,86.0,86.0,0.0,59.0,88.238,156.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,30.0,86.0,0,0,0,0,0,0,0,0,1.0,67.0,30.0,86.0,0,0,0,0,0,0,2,60,2,172,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64197,53,17,62.0,254.0,31.0,31.0,31.0,0.0,127.0,127.0,127.0,0.0,50.66,95.095,250.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,148.0,0.0,718.0,48.0,0,0,0,0,31.0,127.0,0,0,0,0,0,0,0,0,1.0,86.25,31.0,127.0,0,0,0,0,0,0,2,62,2,254,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,46124,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,24.0,0.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,331,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,53610,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,68.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,340,554,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59412,53,17,68.0,220.0,34.0,34.0,34.0,0.0,110.0,110.0,110.0,0.0,20288.0,33536.014,61621.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,34.0,110.0,0,0,0,0,0,0,0,0,1.0,83.3333,34.0,110.0,0,0,0,0,0,0,2,68,2,220,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
