Source_Port,Destination_Port,Protocol,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Min_Packet_Length,Max_Packet_Length,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_fwd,Init_Win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min
61930,53,17,78.0,110.0,39.0,39.0,39.0,0.0,55.0,55.0,55.0,0.0,10173.66,17784.625,30473.0,1.0,1.0,1.0,0.0,1.0,1.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,39.0,55.0,0,0,0,0,0,0,0,0,1.0,58.25,39.0,55.0,0,0,0,0,0,0,2,78,2,110,-1,-1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58511,53,17,88.0,242.0,44.0,44.0,44.0,0.0,121.0,121.0,121.0,0.0,82.33,26.549,282.0,43.0,49.0,49.0,0.0,49.0,49.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,44.0,121.0,0,0,0,0,0,0,0,0,1.0,83.0,44.0,121.0,0,0,0,0,0,0,2,88,2,242,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61238,53,17,49.0,151.0,49.0,49.0,49.0,0.0,155.0,155.0,155.0,0.0,130528.0,0.0,130528.0,30526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49.0,175.0,0,0,0,0,0,0,0,0,1.0,134.5,49.0,155.0,0,0,0,0,0,0,1,49,1,151,-1,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,54360,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,342,32832,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,62050,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,58.0,0.0,58.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,956,63356,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58329,53,17,116.0,272.0,56.0,56.0,56.0,0.0,131.0,131.0,131.0,0.0,80.66,146.565,185.0,3.0,3.0,3.0,0.0,3.0,3.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,56.0,131.0,0,0,0,0,0,0,0,0,1.0,118.25,56.0,131.0,0,0,0,0,0,0,2,116,2,272,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57569,443,6,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,48.0,100.0,48.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6.0,6.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,254,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46666,80,6,717.0,500.0,434.0,0.0,49.25,148.9972,830.0,0.0,30.0,272.5502,3970394.69,4638627.952,10000996.0,3.0,112847892.0,7817633.83,4202554.763,10085123.0,3.0,116038793.0,6833671.37,5007165.859,10034583.0,10877.0,0,0,0,0,0.0,830.0,0,0,0,1,0,0,0,0,0.0,78.5252,49.2333,80.0,0,0,0,0,0,0,21,717,69,500,29200,30,21,32,55986.36,36000.677,97144.0,30527.0,10013332.27,20727.648,10030820.0,7004486.0
50567,53,17,60.0,176.0,30.0,30.0,30.0,0.0,88.0,88.0,88.0,0.0,34.66,74.133,172.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,30.0,88.0,0,0,0,0,0,0,0,0,1.0,73.5,30.0,88.0,0,0,0,0,0,0,2,60,2,176,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49772,53,17,60.0,284.0,30.0,30.0,30.0,0.0,142.0,142.0,142.0,0.0,10339.33,18836.099,31170.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,30.0,142.0,0,0,0,0,0,0,0,0,1.0,90.5,30.0,142.0,0,0,0,0,0,0,2,60,2,284,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
