Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags
2017-04-08 08:23:08.783,0.0,ICMP,192.168.220.14,80,192.168.200.9,57490,1,74,1,.A..S.
2017-04-06 15:20:04.822,0.023,ICMP,192.168.220.9,80,192.168.220.14,48814,2,132,1,.A...F
2017-04-11 13:59:49.530,0.0,ICMP,192.168.220.12,80,192.168.220.13,53532,1,108,1,.A...F
2017-04-05 19:47:53.877,0.0,ICMP,192.168.220.4,80,192.168.220.13,46223,1,74,1,.A..S.
2017-04-07 13:53:47.536,0.0,ICMP,192.168.210.5,443,192.168.200.8,60080,1,54,1,.A....
2017-04-05 15:51:47.937,0.0,ICMP,192.168.200.9,443,192.168.220.13,48252,1,54,1,......
2017-04-05 19:47:53.877,0.0,ICMP,192.168.200.8,139,192.168.220.14,55333,1,54,1,.A....
2017-04-10 10:46:23.184,0.06,ICMP,192.168.200.4,80,192.168.210.5,51607,1,78,1,.A..S.
2017-04-08 11:19:25.103,0.0,ICMP,192.168.200.9,80,192.168.200.9,57574,1,54,1,.A....
2017-04-11 14:04:16.659,0.038,ICMP,192.168.220.7,710,192.168.220.4,59291,3,788,1,.APR.F
2017-04-05 16:14:47.525,0.0,ICMP,192.168.220.10,80,192.168.220.5,52469,1,74,1,.A..S.
2017-04-08 11:19:25.103,0.0,ICMP,192.168.220.15,53,192.168.220.15,44556,1,66,1,.A....
2017-04-10 14:35:53.394,0.371,ICMP,192.168.220.5,443,192.168.200.8,54813,14,10229,1,.AP..F
2017-04-05 15:27:56.989,0.0,ICMP,192.168.210.5,443,192.168.220.6,55317,1,55,1,.A....
2017-04-11 14:04:16.659,0.001,ICMP,192.168.220.11,80,192.168.210.5,56773,2,132,1,.A...F
2017-04-11 10:35:31.631,0.476,ICMP,192.168.200.8,80,192.168.220.8,44292,40,5710,1,.AP...
2017-04-11 01:47:52.818,0.0,ICMP,192.168.220.7,53,192.168.210.5,47811,1,66,1,.A....
2017-04-06 14:01:53.482,0.0,ICMP,192.168.220.14,53,192.168.220.7,55280,1,66,1,.A....
2017-04-10 10:46:23.184,0.0,ICMP,192.168.100.5,445,192.168.210.5,56923,1,100,1,.AP...
2017-04-11 01:47:52.818,0.0,ICMP,192.168.200.9,443,192.168.200.9,63986,1,54,1,.A....
2017-04-06 14:01:53.482,0.0,ICMP,192.168.220.15,80,192.168.220.15,49967,1,66,1,.A....
2017-04-11 13:59:49.530,0.0,ICMP,192.168.220.8,80,192.168.200.9,60840,1,66,1,.A....
2017-04-05 15:27:56.989,0.0,ICMP,192.168.220.6,53,192.168.220.4,47637,1,66,1,.A....
2017-04-07 13:27:17.100,0.0,ICMP,192.168.220.15,80,192.168.220.8,46742,1,56,1,.A....
2017-04-10 10:46:23.184,0.0,ICMP,192.168.220.7,80,192.168.200.8,63166,1,66,1,.A....
2017-04-10 05:53:09.752,0.0,ICMP,192.168.210.5,53,192.168.220.13,42486,1,54,1,.A....
2017-04-05 16:14:47.525,0.0,ICMP,192.168.220.11,80,192.168.220.13,38902,1,66,1,.A....
2017-04-08 01:29:47.455,0.0,ICMP,192.168.220.4,443,192.168.220.12,35189,1,66,1,.A....
2017-04-10 05:53:09.752,0.0,ICMP,192.168.200.9,138,192.168.210.5,50168,2,128,1,......
2017-04-05 15:51:47.937,0.0,ICMP,192.168.200.8,80,192.168.220.11,54029,1,74,1,......
2017-04-05 11:19:30.517,0.0,ICMP,192.168.210.5,80,192.168.220.13,39285,1,56,1,.A..S.
2017-04-06 15:20:04.822,0.0,ICMP,192.168.220.8,443,192.168.220.11,36013,1,66,1,.A....
2017-04-10 12:55:28.228,0.0,ICMP,192.168.220.13,80,192.168.220.13,54756,1,66,1,.A....
2017-04-05 18:03:22.529,0.0,ICMP,192.168.220.16,443,192.168.200.8,50243,1,66,1,.A....
2017-04-09 21:49:47.930,0.0,ICMP,192.168.220.10,443,192.168.220.15,52415,1,66,1,.A....
2017-04-07 13:51:44.690,0.0,ICMP,192.168.210.5,80,192.168.220.9,39486,1,59,1,.A....
2017-04-06 15:20:04.822,0.0,ICMP,192.168.210.5,80,192.168.220.14,55135,1,54,1,.A....
2017-04-06 14:01:53.482,0.018,ICMP,192.168.200.8,443,192.168.220.15,50940,3,193,1,......
2017-04-11 01:47:52.818,0.029,ICMP,192.168.220.6,443,192.168.220.9,52383,2,132,1,......
2017-04-07 13:33:04.775,0.0,ICMP,192.168.220.10,80,192.168.220.14,35883,1,79,1,.A..S.
2017-04-10 16:12:18.912,0.0,ICMP,192.168.220.16,843,192.168.200.8,58739,1,66,1,.A....
2017-04-05 17:04:42.550,0.0,ICMP,192.168.200.5,80,192.168.220.6,39446,1,73,1,.A..S.
2017-04-07 16:00:34.424,0.0,ICMP,192.168.210.5,136,192.168.220.16,50318,1,55,1,.A....
2017-04-05 18:03:22.529,0.0,ICMP,192.168.220.5,80,192.168.200.8,57794,1,66,1,.A....
2017-04-06 16:02:02.723,0.0,ICMP,192.168.220.4,443,192.168.200.8,56710,1,74,1,......
2017-04-05 15:51:47.937,0.005,ICMP,192.168.200.8,80,192.168.200.9,52936,2,108,1,.A...F
2017-04-07 13:51:44.690,0.0,ICMP,192.168.220.15,80,192.168.220.7,42964,1,74,1,......
2017-04-07 13:53:47.536,0.8,ICMP,192.168.220.12,443,192.168.200.9,50242,16,2265,1,.AP.S.
2017-04-07 14:03:50.459,0.0,ICMP,192.168.200.4,80,192.168.220.13,53973,1,54,1,......
2017-04-05 18:03:22.529,0.029,ICMP,192.168.210.5,80,192.168.220.7,46375,2,138,1,.A...F
2017-04-11 13:59:49.530,0.0,ICMP,192.168.220.6,80,192.168.220.10,50557,1,66,1,.A....
2017-04-05 11:19:30.517,0.0,ICMP,192.168.100.5,445,192.168.210.5,53781,1,108,1,.AP...
2017-04-09 21:49:47.930,0.0,ICMP,192.168.200.9,138,192.168.200.4,37693,1,74,1,.A..S.
2017-04-07 13:33:04.775,0.0,ICMP,192.168.200.4,80,192.168.200.8,60643,1,66,1,.A....
2017-04-11 13:59:49.530,0.0,ICMP,192.168.200.9,80,192.168.220.8,37953,1,54,1,.A..S.
2017-04-10 10:48:54.269,0.033,ICMP,192.168.220.4,443,192.168.220.11,37964,2,192,1,......
2017-04-07 13:27:17.100,0.0,ICMP,192.168.220.6,80,192.168.220.7,57529,1,78,1,.A..S.
2017-04-05 16:14:47.525,0.0,ICMP,192.168.210.5,80,192.168.220.12,59649,1,81,1,......
2017-04-11 14:04:16.659,0.0,ICMP,192.168.220.4,443,192.168.220.15,43871,1,108,1,......
2017-04-05 10:03:36.324,0.0,ICMP,192.168.220.15,443,192.168.220.7,48663,1,66,1,.A....
2017-04-10 07:26:07.059,0.0,ICMP,192.168.220.11,443,192.168.220.11,41167,1,66,1,.A....
2017-04-05 10:03:36.324,0.0,ICMP,192.168.220.11,443,192.168.220.9,57410,1,66,1,.A....
2017-04-05 15:51:47.937,0.0,ICMP,192.168.200.8,53,192.168.220.8,38557,1,54,1,......
2017-04-10 14:35:53.394,1.023,ICMP,192.168.220.15,53,192.168.220.15,57266,2,148,1,.A...F
2017-04-10 20:46:57.560,0.0,ICMP,192.168.220.14,80,192.168.220.8,44621,1,71,1,.A..S.
2017-04-05 15:27:56.989,0.18,ICMP,192.168.210.5,138,192.168.220.15,56748,5,225,1,.AP.S.
2017-04-11 12:11:37.062,0.0,ICMP,192.168.220.4,443,192.168.220.13,34178,1,66,1,.A....
2017-04-08 08:23:08.783,0.0,ICMP,192.168.220.9,80,192.168.220.14,49436,1,66,1,.A...F
2017-04-05 19:47:53.877,0.569,ICMP,192.168.200.9,80,192.168.220.7,41356,3,651,1,.AP...
2017-04-08 08:23:08.783,0.0,ICMP,192.168.220.12,443,192.168.210.5,59130,1,66,1,.A....
2017-04-05 17:04:42.550,0.0,ICMP,192.168.220.7,443,192.168.220.7,44867,1,66,1,.A....
2017-04-05 15:51:24.121,0.496,ICMP,192.168.200.9,53,192.168.210.5,66520,9,1215,1,.AP.S.
2017-04-06 07:10:39.630,0.0,ICMP,192.168.220.8,80,192.168.210.5,51681,1,66,1,.A....
2017-04-09 21:49:47.930,0.038,ICMP,192.168.200.8,943,192.168.220.8,53997,2,139,1,......
2017-04-05 11:19:30.517,0.655,ICMP,192.168.210.5,443,192.168.220.12,42616,2,153,1,.AP..F
2017-04-10 14:35:53.394,0.0,ICMP,192.168.210.5,130,192.168.220.10,34234,1,54,1,.A....
2017-04-10 05:53:09.752,0.0,ICMP,192.168.200.5,80,192.168.210.5,55776,1,74,1,.A..S.
