Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags
2017-04-05 10:03:36.324,0.0,UDP,192.168.220.10,42961,DNS,53,2,150,1,......
2017-04-07 14:42:15.903,0.0,TCP,EXT_SERVER,66086,192.168.100.5,49415,1,66,1,.A....
2017-04-05 10:03:36.324,0.0,TCP,192.168.220.15,50130,EXT_SERVER,8082,1,66,1,.A....
2017-04-05 15:51:47.937,0.0,UDP,DNS,53,192.168.210.4,58100,1,224,1,......
2017-04-10 10:46:23.184,0.0,TCP,192.168.200.9,57392,10060_27,80,1,55,1,.A....
2017-04-07 11:53:17.930,0.0,UDP,DNS,53,192.168.220.12,51886,1,193,1,......
2017-04-05 09:18:45.346,0.028,TCP,192.168.220.11,46955,192.168.220.14,51080,2,132,1,.A...F
2017-04-05 17:12:23.183,0.128,TCP,192.168.220.4,50265,10086_192,443,3,284,1,.AP...
2017-04-11 05:02:53.894,0.0,UDP,DNS,53,192.168.220.4,44911,2,299,1,......
2017-04-06 15:20:04.822,0.0,TCP,192.168.200.8,60139,DNS,80,1,55,1,.A....
2017-04-07 10:03:35.467,0.0,UDP,192.168.200.8,60764,DNS,53,1,76,1,......
2017-04-10 05:53:09.752,0.003,TCP,192.168.200.4,45736,10060_27,443,2,174,1,.AP...
2017-04-10 05:53:09.752,0.286,TCP,10223_4,43485,192.168.100.5,45409,6,1135,1,.AP.S.
2017-04-08 01:29:47.455,0.0,TCP,192.168.200.8,60651,192.168.220.7,34473,1,55,1,.A....
2017-04-06 14:01:53.482,0.144,TCP,192.168.220.14,42267,10063_33,443,9,1540,1,.AP.S.
2017-04-07 13:53:47.536,0.192,TCP,192.168.220.7,49302,11062_193,80,3,338,1,.AP...
2017-04-05 11:19:30.517,0.0,TCP,192.168.220.7,60888,10296_238,80,1,66,1,.A....
2017-04-10 14:35:53.394,0.0,TCP,192.168.220.6,52916,192.168.100.5,54445,1,54,1,.A....
2017-04-10 16:12:18.912,0.0,UDP,DNS,53,192.168.220.6,47657,1,212,1,......
2017-04-05 16:14:47.525,0.0,UDP,DNS,53,192.168.220.11,52859,1,261,1,......
2017-04-07 14:03:50.459,0.061,TCP,192.168.220.14,41774,10081_164,443,6,1095,1,.AP.S.
2017-04-07 14:03:57.767,0.015,TCP,192.168.220.4,41499,192.168.100.5,45445,2,178,1,.AP...
