Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags
2017-04-10 05:53:09.752,1.634,TCP,192.168.220.4,35520,10060_27,80,4,729,1,.AP...
2017-04-09 21:49:47.930,0.022,TCP,192.168.220.11,45396,192.168.100.5,445,6,3773,1,.AP.S.
2017-04-05 16:14:47.525,0.0,TCP,192.168.100.5,445,192.168.220.8,39350,1,108,1,.AP...
2017-04-07 14:42:15.903,0.0,UDP,192.168.220.14,36798,DNS,53,1,71,1,......
2017-04-11 13:59:49.530,0.0,UDP,192.168.220.15,39022,DNS,53,1,83,1,......
2017-04-07 08:35:46.238,0.0,TCP,192.168.220.8,39022,10296_238,80,1,66,1,.A....
2017-04-05 19:47:53.877,0.0,TCP,192.168.200.5,35322,10296_238,80,1,66,1,.A....
2017-04-05 19:47:53.877,0.0,UDP,DNS,53,192.168.220.7,57644,1,89,1,......
2017-04-10 10:46:23.184,0.0,TCP,192.168.220.8,56975,192.168.100.5,445,1,66,1,.A....
2017-04-06 14:01:53.482,0.285,TCP,192.168.200.8,49257,DNS,80,2,150,1,.AP...
2017-04-05 09:18:45.346,0.0,TCP,192.168.210.5,50469,192.168.100.5,445,1,55,1,.A....
2017-04-11 04:22:42.317,0.0,UDP,DNS,53,192.168.200.8,62066,1,120,1,......
2017-04-06 16:02:02.723,0.205,TCP,192.168.200.8,52172,192.168.100.5,445,2,174,1,.AP...
2017-04-07 10:03:35.467,0.0,TCP,192.168.220.7,58334,192.168.100.5,445,1,66,1,.A....
2017-04-07 14:42:15.903,0.0,TCP,192.168.210.5,52666,192.168.100.5,445,1,55,1,.A....
2017-04-07 15:00:43.388,0.0,TCP,10296_238,80,192.168.200.8,63250,1,66,1,.A....
2017-04-06 16:02:02.723,0.0,TCP,192.168.220.14,48907,192.168.100.5,445,1,66,1,.A....
2017-04-05 15:51:24.121,0.0,TCP,192.168.220.15,36107,192.168.100.5,445,1,66,1,.A....
2017-04-11 05:02:53.894,1.388,TCP,192.168.220.4,64012,10321_204,443,10,2086,1,.AP.S.
2017-04-10 05:53:09.752,0.626,TCP,192.168.220.6,49477,192.168.100.5,445,2,174,1,.AP...
2017-04-07 20:58:41.792,0.0,UDP,192.168.220.11,46875,DNS,53,1,87,1,......
2017-04-05 17:12:23.183,0.0,TCP,192.168.100.5,445,192.168.200.4,54245,1,108,1,.AP...
2017-04-07 13:33:04.775,0.0,TCP,10162_129,443,192.168.220.4,46788,2,132,1,.A...F
2017-04-06 11:52:12.701,0.0,TCP,192.168.210.5,61513,10060_27,80,1,55,1,.A....
2017-04-11 13:59:49.530,0.0,TCP,192.168.200.8,63646,10081_164,80,1,55,1,.A....
2017-04-05 15:51:47.937,0.0,TCP,10060_27,80,192.168.220.9,42562,1,66,1,.A....
2017-04-07 10:03:35.467,0.0,UDP,DNS,53,192.168.220.15,48169,1,216,1,......
2017-04-10 14:35:53.394,0.0,TCP,192.168.220.11,36245,192.168.100.5,445,1,66,1,.A....
2017-04-11 12:11:37.062,0.011,TCP,192.168.220.8,45628,192.168.100.5,445,2,174,1,.AP...
2017-04-05 15:27:56.989,0.1,TCP,192.168.220.15,58512,10321_204,80,3,198,1,.A...F
2017-04-05 18:03:22.529,0.0,TCP,192.168.100.5,445,192.168.210.5,61712,1,108,1,.AP...
2017-04-05 15:51:47.937,0.111,TCP,192.168.200.8,60116,10162_129,443,5,604,1,.AP...
2017-04-05 15:51:24.121,0.0,TCP,192.168.200.4,50700,EXT_SERVER,8082,1,66,1,.A....
2017-04-05 11:19:30.517,0.001,UDP,DNS,53,192.168.220.8,43410,2,246,1,......
2017-04-07 14:03:57.767,0.0,TCP,192.168.220.13,40711,10296_227,80,1,66,1,.A....
2017-04-07 14:42:15.903,0.0,TCP,11014_185,443,192.168.210.5,56956,1,66,1,.A....
2017-04-10 20:46:57.560,0.014,TCP,192.168.220.15,56211,192.168.220.6,443,2,148,1,.A...F
2017-04-07 08:35:46.238,0.0,TCP,10223_4,80,192.168.210.5,61959,1,66,1,.A....
2017-04-05 15:51:47.937,0.0,TCP,10060_27,80,192.168.210.5,61823,1,66,1,.A....
2017-04-05 18:03:22.529,0.0,TCP,192.168.220.13,45691,10057_29,80,1,66,1,.A....
2017-04-08 01:29:47.455,0.003,UDP,DNS,53,192.168.220.4,42342,2,259,1,......
2017-04-10 10:48:54.269,0.0,UDP,192.168.220.11,43165,DNS,53,1,79,1,......
2017-04-06 16:21:41.608,0.0,TCP,192.168.220.10,54747,10060_27,80,1,66,1,.A....
2017-04-06 14:01:53.482,0.034,TCP,192.168.100.5,445,192.168.220.11,47166,3,132,1,.A...F
2017-04-07 16:00:34.424,0.0,UDP,192.168.220.10,44948,DNS,53,1,93,1,......
2017-04-05 10:03:36.324,0.0,TCP,192.168.220.13,59198,10060_27,443,1,66,1,.A....
2017-04-10 16:12:18.912,0.0,TCP,192.168.200.9,51102,10296_238,443,1,55,1,.A....
2017-04-05 17:12:23.183,0.269,TCP,192.168.200.9,50699,14645_180,443,4,503,1,.AP.S.
2017-04-07 13:53:47.536,0.0,TCP,192.168.220.6,52247,EXT_SERVER,8080,1,66,1,.A....
2017-04-05 16:14:47.525,0.148,TCP,192.168.220.6,33889,14645_180,443,11,2093,1,.AP.S.
2017-04-06 11:52:12.701,0.0,TCP,192.168.220.8,58284,10026_249,443,1,66,1,.A....
2017-04-08 11:19:25.103,0.011,TCP,192.168.210.5,63588,10060_27,80,2,108,1,.A...F
2017-04-05 09:18:45.346,0.0,TCP,192.168.220.14,33392,10296_238,80,1,66,1,.A....
2017-04-10 10:46:23.184,0.022,TCP,192.168.220.7,51842,10296_230,443,3,732,1,.AP...
2017-04-07 16:00:34.424,0.0,TCP,10296_238,80,192.168.200.4,35528,1,66,1,.A....
