Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags
2017-04-05 11:04:42.387,0.0,TCP,11054_192,443,192.168.200.8,55929,1,66,1,.A....
2017-04-07 17:13:13.387,0.0,UDP,DNS,53,192.168.210.5,52519,1,173,1,......
2017-04-10 10:17:37.905,0.0,UDP,192.168.210.5,138,192.168.210.255,138,1,243,1,......
2017-04-09 11:55:41.923,0.014,TCP,10060_27,80,192.168.220.12,32991,2,132,1,.A...F
2017-04-07 15:33:55.695,0.0,UDP,192.168.220.15,40017,DNS,53,2,128,1,......
2017-04-07 15:59:00.975,0.005,TCP,192.168.220.16,53950,192.168.100.5,445,2,174,1,.AP...
2017-04-06 16:27:07.029,0.09,TCP,192.168.220.8,55627,10026_249,443,10,1568,1,.AP.S.
2017-04-10 10:56:26.715,0.0,UDP,192.168.220.13,46485,DNS,53,2,132,1,......
2017-04-07 16:50:45.057,0.002,TCP,192.168.220.8,50246,192.168.100.5,445,2,174,1,.AP...
2017-04-08 11:08:37.894,0.294,TCP,192.168.200.9,54462,14645_180,443,7,1165,1,.AP.S.
2017-04-11 10:45:37.198,0.034,TCP,192.168.220.10,53438,10499_46,443,2,903,1,.AP...
2017-04-06 10:27:52.096,0.0,TCP,192.168.220.7,46505,16886_101,80,1,66,1,.A....
2017-04-07 15:33:55.695,0.0,UDP,192.168.220.16,137,192.168.220.255,137,1,92,1,......
2017-04-06 11:54:59.115,0.0,TCP,192.168.220.15,40275,10199_14,80,1,66,1,.A....
2017-04-11 05:25:14.806,0.004,TCP,192.168.220.16,48958,192.168.100.5,445,2,174,1,.AP...
2017-04-10 15:34:32.975,0.0,TCP,10321_204,443,192.168.220.6,49803,1,66,1,.A....
2017-04-10 10:17:37.905,0.003,UDP,192.168.210.5,57704,DNS,53,1,81,1,......
2017-04-07 09:09:27.917,0.003,TCP,192.168.220.5,55030,192.168.100.5,445,2,174,1,.AP...
2017-04-07 15:59:00.975,0.0,TCP,192.168.100.5,445,192.168.200.4,54771,1,108,1,.AP...
2017-04-11 13:29:56.885,0.0,UDP,DNS,53,192.168.200.9,52467,1,91,1,......
2017-04-11 07:29:17.700,0.0,TCP,192.168.100.5,445,192.168.220.15,33113,1,108,1,.AP...
2017-04-07 09:09:27.917,0.019,TCP,192.168.100.4,587,192.168.220.12,56871,5,341,1,.AP..F
2017-04-09 11:55:41.923,0.001,TCP,192.168.200.5,54662,192.168.100.5,445,2,174,1,.AP...
2017-04-05 19:49:11.853,0.0,TCP,192.168.100.5,445,192.168.220.16,48958,1,70,1,.AP...
2017-04-07 11:40:36.771,0.377,TCP,192.168.200.8,49575,10296_238,443,6,982,1,.AP...
2017-04-11 16:42:32.554,0.0,TCP,192.168.220.13,54958,10321_204,443,1,66,1,.A....
2017-04-10 10:42:56.157,0.0,TCP,192.168.100.5,445,192.168.200.4,54771,1,108,1,.AP...
2017-04-10 10:56:26.715,0.095,TCP,192.168.210.5,60059,10296_238,443,2,166,1,.AP...
2017-04-06 09:23:12.548,0.021,TCP,192.168.220.16,45145,EXT_SERVER,8082,2,338,1,.AP...
2017-04-10 10:17:37.905,0.0,TCP,10793_174,80,192.168.220.11,59502,1,66,1,.A....
2017-04-10 15:45:17.271,0.063,TCP,EXT_SERVER,8000,192.168.200.9,53088,7,650,1,.AP.SF
2017-04-06 16:55:39.249,0.0,UDP,192.168.210.4,52839,DNS,53,1,80,1,......
2017-04-09 11:55:41.923,0.0,UDP,DNS,53,192.168.220.11,42923,2,488,1,......
2017-04-05 17:07:36.357,0.0,TCP,192.168.200.8,55901,10296_238,80,1,55,1,.A....
2017-04-05 15:31:50.645,0.0,TCP,10223_4,80,192.168.220.12,37130,1,70,1,.A..S.
2017-04-05 17:07:36.357,0.0,UDP,DNS,53,192.168.220.13,49791,1,200,1,......
2017-04-07 17:13:13.387,0.0,TCP,192.168.210.5,53803,10026_249,443,1,55,1,.A....
2017-04-05 13:51:55.301,0.025,TCP,192.168.210.5,64748,10305_138,443,3,215,1,.AP..F
2017-04-10 10:17:37.905,0.05,TCP,192.168.220.11,38952,10296_225,443,33,1441,1,.AP...
2017-04-05 18:53:49.650,0.0,UDP,DNS,53,192.168.210.5,49921,1,107,1,......
2017-04-07 11:40:36.771,0.037,TCP,192.168.210.5,54080,10296_226,443,3,374,1,.AP...
2017-04-05 17:36:32.659,0.0,TCP,10081_164,80,192.168.220.10,53745,1,66,1,.A....
2017-04-11 05:25:14.806,0.0,TCP,192.168.220.9,40815,10077_154,80,1,66,1,.A....
2017-04-05 17:36:32.659,0.0,TCP,EXT_SERVER,8082,192.168.220.16,45145,1,212,1,.AP...
2017-04-06 17:46:32.360,0.0,TCP,192.168.220.13,35913,10151_143,80,1,54,1,.A....
2017-04-05 17:36:32.659,0.947,TCP,192.168.220.14,42954,10001_232,80,40,8484,1,.AP.S.
2017-04-10 12:33:33.525,0.0,TCP,192.168.200.8,54900,10001_232,443,1,55,1,.A....
2017-04-05 13:51:55.301,0.269,TCP,192.168.200.8,65106,10296_238,443,2,166,1,.AP...
2017-04-05 19:49:11.853,0.034,TCP,10223_24,80,192.168.220.15,48852,2,132,1,.A...F
2017-04-05 18:53:49.650,0.177,TCP,10223_24,80,192.168.200.9,52563,31,94921,1,.AP.S.
2017-04-06 17:46:32.360,0.0,UDP,192.168.210.5,63696,DNS,53,1,78,1,......
2017-04-08 17:42:04.412,0.0,TCP,192.168.210.5,63554,10425_118,443,1,55,1,.A....
2017-04-06 09:23:12.548,0.0,TCP,192.168.220.6,47075,10678_131,80,1,54,1,.A....
2017-04-07 15:33:55.695,2.055,TCP,192.168.210.4,53406,10081_164,443,7,1643,1,.AP.S.
2017-04-11 12:09:55.086,0.003,TCP,192.168.220.7,50015,192.168.100.5,445,2,174,1,.AP...
2017-04-08 11:08:37.894,0.005,TCP,192.168.220.11,43660,192.168.100.5,445,2,174,1,.AP...
2017-04-06 10:27:52.096,0.0,TCP,192.168.100.5,445,192.168.220.11,56173,1,70,1,.AP...
2017-04-06 17:46:32.360,0.194,TCP,14645_180,443,192.168.200.9,60488,5,535,1,.AP.S.
2017-04-07 11:40:36.771,0.0,TCP,192.168.220.14,40658,10060_27,80,1,66,1,.A....
2017-04-10 12:33:33.525,0.0,TCP,192.168.100.5,445,192.168.220.6,36437,1,108,1,.AP...
2017-04-11 05:25:14.806,0.0,UDP,192.168.200.9,54261,DNS,53,1,89,1,......
2017-04-07 16:28:07.125,0.0,TCP,192.168.200.8,62417,10223_4,80,1,55,1,.A....
2017-04-09 11:55:41.923,0.0,TCP,192.168.210.5,62966,10063_33,80,1,55,1,.A....
2017-04-06 17:46:32.360,0.121,TCP,192.168.220.15,49643,14369_223,443,9,2288,1,.AP.S.
2017-04-06 16:55:39.250,0.018,TCP,192.168.220.9,54573,10057_29,80,2,563,1,.AP...
2017-04-11 12:25:19.925,0.0,TCP,192.168.220.4,52986,10060_27,80,1,66,1,.A....
2017-04-05 11:04:42.387,0.0,UDP,DNS,53,192.168.200.9,54848,1,91,1,......
2017-04-11 13:29:56.885,0.0,UDP,DNS,53,192.168.220.10,37282,2,298,1,......
2017-04-07 15:33:55.695,0.021,TCP,192.168.220.13,41775,10060_27,80,5,764,1,.AP.S.
2017-04-05 18:53:49.650,0.004,TCP,192.168.220.11,59275,192.168.100.5,445,2,174,1,.AP...
2017-04-07 09:09:27.917,0.076,TCP,192.168.200.9,57899,14645_180,443,6,1099,1,.AP.S.
2017-04-05 15:54:24.628,0.0,TCP,192.168.100.5,445,192.168.220.13,56243,1,70,1,.AP...
2017-04-10 12:33:33.525,0.024,TCP,192.168.210.4,56563,11054_192,443,5,393,1,.AP..F
2017-04-08 17:42:04.412,0.263,TCP,192.168.210.5,52458,10296_227,443,13,12975,1,.AP...
2017-04-06 16:55:39.250,0.0,TCP,192.168.220.7,50190,10100_133,443,1,54,1,.A....
2017-04-07 09:09:27.917,0.0,TCP,192.168.220.14,51184,10077_156,443,1,66,1,.A....
2017-04-06 10:27:52.096,0.0,TCP,192.168.200.4,43316,10106_93,443,2,108,1,.A...F
2017-04-06 16:27:07.029,0.098,TCP,192.168.220.4,44616,10501_19,443,9,1287,1,.AP.S.
2017-04-08 11:00:48.267,0.022,TCP,192.168.220.11,56018,10074_39,443,3,215,1,.AP..F
2017-04-10 10:42:56.157,0.0,TCP,192.168.220.7,43371,10058_155,443,1,66,1,.A....
2017-04-05 17:36:32.659,0.002,UDP,DNS,53,192.168.220.6,39189,2,388,1,......
2017-04-06 09:23:12.548,0.0,TCP,192.168.220.14,41919,10086_192,80,1,66,1,.A....
2017-04-10 17:24:58.756,0.0,TCP,192.168.210.5,58098,10063_33,80,1,55,1,.A....
2017-04-06 13:12:36.310,0.0,TCP,10063_33,80,192.168.220.14,48756,1,66,1,.A....
