Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags
2017-04-08 11:50:26.923,0.0,TCP,14645_180,443,192.168.200.8,61518,1,555,1,.AP...
2017-04-07 10:03:35.467,0.0,TCP,192.168.220.15,52388,10081_164,443,1,66,1,.A....
2017-04-05 15:51:47.937,0.0,TCP,192.168.220.13,39185,10081_164,443,1,66,1,.A....
2017-04-06 07:10:39.630,0.377,TCP,192.168.220.4,49659,192.168.100.5,445,3,1308,1,.AP.SF
2017-04-08 01:29:47.455,0.0,UDP,DNS,53,192.168.200.8,62386,1,95,1,......
2017-04-06 11:52:12.701,0.0,TCP,192.168.100.5,445,192.168.220.8,39421,1,108,1,.AP...
2017-04-06 16:02:02.723,0.004,TCP,192.168.220.14,33268,10296_238,80,2,174,1,.AP...
2017-04-07 14:03:50.459,0.0,TCP,192.168.220.16,40045,192.168.100.5,445,1,54,1,.A....
2017-04-09 08:02:40.353,0.0,TCP,192.168.220.11,35010,192.168.100.5,445,1,54,1,.A....
2017-04-07 13:33:04.775,0.0,TCP,192.168.210.5,51198,10060_27,80,1,55,1,.A....
2017-04-07 11:53:17.930,0.0,UDP,DNS,53,192.168.220.8,37559,2,389,1,......
2017-04-05 09:18:45.346,0.0,TCP,192.168.210.5,61061,10060_27,80,1,55,1,.A....
2017-04-07 14:42:15.903,0.0,TCP,192.168.100.5,445,192.168.220.16,51613,1,108,1,.AP...
2017-04-07 08:35:46.238,0.109,TCP,192.168.220.6,36958,10296_230,80,3,834,1,.AP.S.
2017-04-06 07:10:39.630,0.0,UDP,DNS,53,192.168.220.7,46719,1,192,1,......
2017-04-05 10:03:36.324,0.347,TCP,192.168.220.14,56078,10305_138,443,9,1562,1,.AP.S.
2017-04-08 08:23:08.783,0.0,TCP,10076_237,443,192.168.220.14,33428,1,66,1,.A....
2017-04-07 10:03:35.467,0.0,TCP,10060_27,80,192.168.220.14,51266,1,66,1,.A....
2017-04-05 17:12:23.183,0.0,TCP,192.168.200.9,60070,10060_27,80,1,55,1,.A....
2017-04-07 20:58:41.792,0.02,TCP,192.168.220.14,52358,10321_204,443,4,757,1,.AP.S.
2017-04-07 11:53:17.930,0.0,TCP,192.168.200.9,64742,10305_142,443,1,55,1,.A....
2017-04-08 11:50:26.923,0.0,UDP,192.168.220.10,53,192.168.200.8,54481,1,193,1,......
2017-04-05 15:51:24.121,0.0,TCP,192.168.220.8,42097,10296_238,443,1,66,1,.A....
2017-04-09 21:49:47.930,0.0,TCP,11062_193,443,192.168.220.12,58405,1,66,1,.A....
2017-04-10 10:48:54.269,0.0,UDP,192.168.220.13,48051,DNS,53,2,158,1,......
2017-04-07 11:53:17.930,0.216,TCP,192.168.220.14,51518,10060_27,80,7,1535,1,.AP.S.
2017-04-10 12:55:28.228,0.0,TCP,192.168.220.15,42504,10162_129,80,1,66,1,.A....
2017-04-07 14:42:15.903,0.0,TCP,192.168.100.5,445,192.168.220.6,57436,1,108,1,.AP...
2017-04-05 17:12:23.183,0.0,TCP,192.168.220.15,55294,10060_27,80,1,66,1,.A....
2017-04-07 13:51:44.690,0.0,UDP,DNS,53,192.168.220.13,40801,1,254,1,......
2017-04-11 01:47:52.818,0.028,TCP,10793_174,443,192.168.200.8,57721,3,133,1,.AP..F
2017-04-09 08:02:40.353,0.0,TCP,10077_156,80,192.168.200.8,50116,1,66,1,.A....
2017-04-10 07:26:07.059,0.0,TCP,192.168.100.5,445,192.168.220.14,47917,1,108,1,.AP...
2017-04-11 04:22:42.317,0.0,UDP,192.168.220.10,34603,DNS,53,1,78,1,......
2017-04-05 15:51:24.121,0.0,TCP,192.168.200.9,54053,192.168.200.4,80,1,55,1,.A....
2017-04-07 20:58:41.792,0.0,TCP,192.168.220.11,49457,192.168.100.5,445,1,66,1,.A....
2017-04-05 15:51:24.121,0.0,UDP,192.168.220.11,52835,DNS,53,2,144,1,......
2017-04-05 10:03:36.324,0.0,UDP,DNS,53,192.168.220.15,42539,2,398,1,......
2017-04-10 16:12:18.912,0.0,UDP,DNS,53,192.168.200.9,57362,1,84,1,......
2017-04-10 20:46:57.560,0.0,TCP,192.168.210.5,59814,10060_27,443,1,55,1,.A....
2017-04-08 11:19:25.103,0.0,UDP,192.168.220.14,52977,DNS,53,2,152,1,......
2017-04-10 10:48:54.269,0.0,TCP,192.168.220.15,48220,10081_164,80,1,66,1,.A....
2017-04-10 14:35:53.394,0.004,TCP,192.168.220.9,57771,192.168.100.5,445,2,174,1,.AP...
2017-04-06 16:21:41.608,0.035,TCP,192.168.210.5,62803,10321_204,443,3,516,1,.AP...
2017-04-11 04:22:42.317,0.032,UDP,DNS,53,192.168.220.11,36889,2,328,1,......
2017-04-08 11:50:26.923,0.0,TCP,14645_180,443,192.168.220.6,54778,1,66,1,.A....
2017-04-05 15:51:47.937,0.0,TCP,192.168.200.5,40516,10081_164,443,1,66,1,.A....
2017-04-06 11:52:12.701,0.031,UDP,192.168.220.13,55673,DNS,53,2,140,1,......
2017-04-06 15:20:04.822,0.0,TCP,192.168.220.9,48873,11184_35,80,2,108,1,.A...F
2017-04-06 14:01:53.482,0.0,TCP,192.168.220.10,35695,192.168.100.5,445,2,144,1,.AP...
2017-04-10 05:53:09.752,0.0,TCP,192.168.220.8,33668,10057_29,80,1,66,1,.A....
2017-04-05 15:51:24.121,0.0,TCP,192.168.220.13,38876,10063_134,443,1,66,1,.A....
2017-04-08 11:19:25.103,0.0,UDP,DNS,53,192.168.210.5,54032,1,131,1,......
2017-04-07 14:03:57.767,0.0,TCP,192.168.220.13,34241,192.168.100.5,445,1,66,1,.A....
2017-04-06 11:38:26.330,0.0,TCP,14645_180,443,192.168.220.8,45093,1,66,1,.A....
2017-04-11 13:59:49.530,0.0,TCP,10060_27,80,192.168.200.9,56467,1,66,1,.A....
