ruleid,rtype,meaningful
0,deployment,True
1,deployment,True
2,deployment,True
3,deployment,True
4,deployment,True
5,deployment,True
6,deployment,True
7,deployment,True
8,deployment,True
9,deployment,True
10,deployment,True
11,deployment,True
12,deployment,True
13,protocol,True
14,deployment,True
15,deployment,True
16,deployment,True
17,deployment,True
18,protocol,True
19,deployment,True
20,deployment,True
21,deployment,True
22,deployment,True
23,deployment,True
24,deployment,True
25,deployment,True
26,protocol,True
27,protocol,True
28,deployment,True
29,deployment,True
30,deployment,True
31,deployment,True
32,protocol,True
33,deployment,True
34,deployment,True
35,deployment,True
36,deployment,True
37,deployment,True
38,deployment,True
39,deployment,True
40,protocol,True
41,deployment,True
42,deployment,True
43,protocol,True
44,deployment,True
45,protocol,True
46,protocol,True
47,deployment,True
48,deployment,True
49,deployment,True
50,deployment,True
51,deployment,True
52,deployment,True
53,protocol,True
54,principle,True
55,principle,True
56,deployment,True
57,deployment,True
58,deployment,True
59,deployment,True
60,protocol,True
61,protocol,True
62,deployment,True
63,deployment,True
64,deployment,True
65,deployment,True
66,deployment,True
67,deployment,True
68,deployment,True
69,deployment,True
70,deployment,True
71,deployment,True
72,deployment,True
73,deployment,True
74,deployment,True
75,deployment,True
76,deployment,True
77,deployment,True
78,deployment,True
79,deployment,True
80,deployment,True
81,deployment,True
82,deployment,True
83,deployment,True
84,deployment,True
85,deployment,True
86,deployment,True
87,deployment,True
88,deployment,True
89,deployment,True
90,deployment,True
91,deployment,True
92,deployment,True
93,deployment,True
94,deployment,True
95,deployment,True
96,deployment,True
97,deployment,False
98,deployment,False
99,deployment,False
100,deployment,False
101,deployment,False
102,deployment,False
103,deployment,True
104,deployment,True
105,deployment,True
106,deployment,False
107,deployment,False
108,deployment,False
109,deployment,False
110,deployment,False
111,deployment,False
112,deployment,False
113,deployment,False
114,deployment,False
115,deployment,True
116,deployment,True
117,deployment,False
118,deployment,False
119,deployment,False
120,deployment,False
121,deployment,True
122,deployment,True
123,deployment,False
124,deployment,False
125,deployment,False
126,deployment,False
127,deployment,True
