ruleid,rtype,meaningful
0,protocol,False
1,protocol,False
2,protocol,True
3,protocol,True
4,protocol,False
5,protocol,True
6,deployment,False
7,deployment,True
8,deployment,True
9,deployment,True
10,deployment,True
11,deployment,True
12,deployment,True
13,deployment,True
14,protocol,True
15,deployment,True
16,protocol,False
17,deployment,True
18,protocol,True
19,deployment,True
20,deployment,True
21,deployment,True
22,deployment,True
23,deployment,True
24,protocol,True
25,deployment,True
26,deployment,True
27,protocol,True
28,protocol,True
29,deployment,True
30,protocol,True
31,protocol,True
32,protocol,True
33,protocol,True
34,protocol,True
35,protocol,True
36,protocol,True
37,protocol,True
38,protocol,True
39,protocol,True
40,protocol,True
41,protocol,True
42,protocol,True
43,protocol,True
44,protocol,True
45,deployment,True
46,deployment,True
47,protocol,True
48,deployment,True
49,deployment,True
50,deployment,True
51,protocol,True
52,protocol,True
53,protocol,True
54,protocol,True
55,protocol,True
56,protocol,True
57,deployment,True
58,protocol,True
59,protocol,True
60,deployment,True
61,deployment,True
62,deployment,True
63,protocol,True
64,deployment,True
65,deployment,True
66,protocol,True
67,protocol,True
68,protocol,True
69,protocol,True
70,protocol,True
71,protocol,True
72,deployment,True
73,protocol,True
74,protocol,True
75,protocol,True
76,protocol,True
77,protocol,True
78,principle,False
79,principle,False
80,principle,False
81,principle,False
82,principle,False
83,principle,False
84,principle,False
85,principle,False
86,principle,False
87,principle,False
88,principle,False
89,principle,False
