ruleid,rtype,meaningful
0,deployment,False
1,deployment,False
2,deployment,True
3,deployment,False
4,deployment,True
5,deployment,True
6,deployment,True
7,deployment,True
8,deployment,True
9,deployment,True
10,deployment,False
11,deployment,True
12,deployment,False
13,deployment,True
14,deployment,True
15,deployment,True
16,deployment,False
17,deployment,True
18,deployment,True
19,deployment,False
20,deployment,True
21,deployment,False
22,deployment,True
23,deployment,False
24,deployment,True
25,deployment,True
26,deployment,True
27,deployment,True
28,deployment,True
29,deployment,False
30,deployment,True
31,deployment,True
32,deployment,True
33,protocol,True
34,deployment,True
35,deployment,True
36,deployment,True
37,deployment,True
38,deployment,True
39,deployment,True
40,deployment,True
41,deployment,True
42,deployment,True
43,deployment,True
44,deployment,True
45,deployment,True
46,deployment,True
47,deployment,True
48,deployment,True
49,deployment,True
50,deployment,True
51,deployment,True
52,deployment,True
53,deployment,True
54,deployment,True
55,deployment,True
56,deployment,True
57,deployment,True
58,deployment,True
59,deployment,True
60,deployment,True
61,deployment,True
62,deployment,True
63,deployment,True
64,deployment,False
65,deployment,True
66,deployment,True
67,deployment,True
68,deployment,True
69,deployment,True
70,deployment,False
71,deployment,True
72,deployment,True
73,deployment,True
74,deployment,True
75,deployment,True
76,principle,True
77,deployment,True
78,deployment,True
79,deployment,True
80,deployment,True
81,deployment,True
82,deployment,True
83,deployment,True
84,deployment,True
85,deployment,True
86,deployment,True
87,principle,True
88,deployment,True
89,principle,True
90,deployment,True
91,deployment,True
92,principle,True
93,deployment,True
94,deployment,True
95,deployment,True
96,deployment,True
97,deployment,True
98,deployment,True
99,deployment,True
100,deployment,True
101,deployment,True
102,deployment,True
103,deployment,False
104,protocol,True
105,deployment,True
106,deployment,False
107,deployment,True
108,deployment,True
109,deployment,True
110,deployment,True
111,deployment,False
112,deployment,True
113,deployment,True
114,deployment,True
115,deployment,True
116,deployment,True
117,deployment,True
118,deployment,True
119,deployment,True
120,deployment,True
121,deployment,True
122,deployment,False
123,deployment,True
124,protocol,True
125,deployment,True
126,deployment,True
127,deployment,True
128,deployment,True
129,deployment,True
130,deployment,True
131,deployment,True
132,principle,True
133,deployment,True
134,deployment,True
135,deployment,True
136,deployment,True
137,protocol,True
138,deployment,False
139,protocol,False
140,deployment,True
141,deployment,True
142,principle,True
143,deployment,True
144,principle,True
145,protocol,True
146,deployment,True
147,protocol,False
148,principle,True
149,deployment,True
150,deployment,True
151,deployment,True
152,deployment,True
153,deployment,False
154,deployment,True
155,principle,True
156,protocol,True
157,deployment,True
158,protocol,True
159,protocol,True
160,deployment,True
161,deployment,True
162,principle,True
163,deployment,True
164,deployment,True
165,deployment,True
166,protocol,True
167,protocol,True
168,protocol,True
169,protocol,True
170,deployment,False
171,principle,True
172,protocol,True
173,protocol,False
174,deployment,False
175,deployment,False
176,deployment,False
177,deployment,False
178,protocol,False
179,deployment,False
180,deployment,False
181,deployment,False
182,deployment,False
183,deployment,False
184,deployment,False
185,protocol,True
186,principle,True
187,deployment,False
188,protocol,False
189,deployment,False
190,deployment,False
191,principle,True
192,protocol,True
193,protocol,True
194,principle,True
195,deployment,False
196,deployment,False
197,deployment,False
198,deployment,False
199,protocol,False
200,protocol,False
201,protocol,True
202,deployment,False
203,principle,True
204,deployment,False
205,protocol,True
206,deployment,True
207,deployment,False
208,protocol,True
209,deployment,True
210,deployment,True
211,deployment,False
212,deployment,True
213,deployment,True
214,deployment,True
215,deployment,True
216,deployment,True
217,deployment,True
218,deployment,True
219,deployment,True
220,deployment,True
221,protocol,True
222,deployment,True
223,deployment,True
224,deployment,True
225,protocol,True
226,deployment,True
227,deployment,True
228,protocol,True
229,deployment,True
230,deployment,True
231,deployment,True
232,deployment,True
233,deployment,True
234,deployment,True
235,deployment,True
236,deployment,True
237,deployment,False
238,deployment,False
239,deployment,False
240,deployment,True
241,deployment,True
242,deployment,True
243,deployment,True
244,deployment,False
245,deployment,True
246,deployment,True
247,deployment,False
248,deployment,False
249,deployment,True
250,deployment,True
251,deployment,True
252,deployment,True
253,deployment,False
254,deployment,True
255,deployment,True
256,deployment,False
257,deployment,True
258,deployment,True
259,deployment,True
260,deployment,True
261,deployment,True
262,deployment,True
263,deployment,True
264,deployment,True
265,deployment,True
266,deployment,True
267,deployment,True
268,deployment,True
269,deployment,True
270,deployment,True
271,deployment,True
272,deployment,True
273,deployment,True
274,deployment,True
275,deployment,True
276,deployment,True
277,deployment,True
278,deployment,True
279,deployment,True
280,deployment,True
281,deployment,True
282,deployment,True
283,deployment,True
284,deployment,True
285,deployment,True
286,deployment,True
287,deployment,True
288,deployment,True
289,deployment,True
290,deployment,True
291,deployment,True
292,deployment,True
293,deployment,True
294,deployment,True
295,deployment,True
296,deployment,True
297,deployment,True
298,deployment,True
299,deployment,True
300,deployment,True
301,deployment,True
302,deployment,True
303,deployment,True
304,deployment,True
305,deployment,True
306,deployment,True
307,deployment,True
308,deployment,True
309,deployment,True
310,deployment,True
311,deployment,True
312,deployment,True
313,deployment,True
314,deployment,True
315,deployment,True
316,deployment,True
317,deployment,True
318,deployment,True
319,deployment,True
320,deployment,True
321,deployment,True
322,deployment,True
323,deployment,True
324,deployment,True
325,deployment,True
326,deployment,True
327,deployment,True
328,deployment,True
329,deployment,True
330,deployment,True
331,deployment,True
332,deployment,True
333,deployment,True
334,deployment,True
335,deployment,True
336,deployment,False
337,deployment,True
338,deployment,False
339,deployment,False
340,deployment,False
341,deployment,True
342,deployment,False
343,deployment,False
344,deployment,False
345,deployment,True
346,deployment,True
347,protocol,False
348,deployment,True
349,deployment,True
350,deployment,False
351,deployment,True
352,protocol,True
353,deployment,False
354,protocol,True
355,deployment,True
356,deployment,True
357,deployment,True
358,protocol,True
359,deployment,True
360,protocol,True
361,protocol,True
362,protocol,True
363,protocol,True
364,deployment,True
365,protocol,True
366,deployment,True
367,deployment,True
368,protocol,True
369,deployment,True
370,protocol,True
371,deployment,True
372,deployment,True
373,deployment,True
374,deployment,True
375,protocol,True
376,deployment,True
377,deployment,True
378,deployment,True
379,deployment,True
380,deployment,True
381,deployment,True
382,deployment,True
383,deployment,True
384,deployment,True
385,deployment,True
386,deployment,True
387,deployment,True
388,deployment,True
389,deployment,True
390,deployment,True
391,deployment,True
392,deployment,True
393,deployment,True
394,deployment,True
395,deployment,True
396,deployment,True
397,deployment,True
398,deployment,True
399,deployment,True
400,deployment,True
401,deployment,True
402,deployment,False
403,deployment,True
404,deployment,True
405,deployment,True
406,deployment,True
407,deployment,True
408,deployment,True
409,deployment,True
410,deployment,True
411,deployment,False
412,deployment,True
413,protocol,False
414,principle,True
415,deployment,True
416,deployment,True
417,protocol,False
418,protocol,True
419,deployment,True
420,deployment,False
421,protocol,False
422,deployment,True
423,deployment,True
424,protocol,False
425,deployment,True
426,protocol,False
427,protocol,True
428,deployment,True
429,protocol,True
430,deployment,False
431,principle,True
432,protocol,True
433,deployment,True
434,protocol,True
435,protocol,True
436,deployment,True
437,protocol,True
438,deployment,True
439,deployment,True
440,protocol,True
441,protocol,True
442,deployment,True
443,deployment,True
444,deployment,False
445,deployment,False
446,deployment,False
447,deployment,True
448,protocol,True
449,deployment,True
450,deployment,False
451,deployment,True
452,deployment,True
453,deployment,True
454,deployment,True
455,deployment,True
456,deployment,True
457,deployment,True
458,deployment,True
459,deployment,True
460,deployment,True
461,deployment,True
462,deployment,True
463,deployment,True
464,deployment,True
465,deployment,True
466,deployment,True
467,deployment,True
468,deployment,True
