ruleid,rtype,meaningful
0,deployment,True
1,deployment,False
2,deployment,True
3,deployment,False
4,deployment,True
5,deployment,False
6,deployment,True
7,deployment,False
8,deployment,True
9,deployment,False
10,deployment,True
11,deployment,False
12,deployment,False
13,deployment,True
14,deployment,False
15,deployment,True
16,deployment,False
17,deployment,True
18,deployment,True
19,deployment,True
20,deployment,True
21,deployment,True
22,deployment,True
23,deployment,True
24,deployment,True
25,deployment,False
26,deployment,True
27,deployment,True
28,deployment,True
29,deployment,True
30,deployment,True
31,deployment,True
32,deployment,True
33,deployment,True
34,deployment,True
35,protocol,True
36,deployment,True
37,deployment,True
38,deployment,True
39,protocol,True
40,principle,True
41,deployment,True
42,deployment,True
43,deployment,True
44,deployment,True
45,deployment,True
46,deployment,True
47,deployment,True
48,deployment,True
49,deployment,True
50,deployment,True
51,deployment,True
52,protocol,True
53,deployment,True
54,deployment,True
55,deployment,True
56,deployment,True
57,deployment,True
58,deployment,True
59,deployment,True
60,deployment,True
61,deployment,True
62,protocol,True
63,deployment,True
64,deployment,True
65,deployment,True
66,deployment,True
67,deployment,True
68,deployment,True
69,protocol,True
70,protocol,True
71,deployment,True
72,deployment,True
73,deployment,True
74,protocol,True
75,protocol,True
76,deployment,True
77,protocol,True
78,protocol,True
79,deployment,True
80,deployment,True
81,deployment,True
82,deployment,True
83,protocol,True
84,deployment,True
85,deployment,True
86,deployment,True
87,deployment,True
88,deployment,True
89,deployment,True
90,protocol,True
91,protocol,True
92,deployment,True
93,deployment,True
94,protocol,True
95,deployment,True
96,protocol,True
97,deployment,True
98,principle,False
99,protocol,True
100,deployment,True
101,deployment,True
102,deployment,True
103,deployment,True
104,deployment,True
105,principle,False
106,deployment,True
107,deployment,True
108,deployment,True
109,protocol,True
110,deployment,False
111,deployment,True
112,deployment,True
113,principle,False
114,deployment,True
115,deployment,True
116,deployment,True
117,deployment,True
118,deployment,True
119,deployment,True
120,deployment,True
121,deployment,True
122,deployment,True
123,principle,False
124,protocol,True
125,deployment,True
126,deployment,True
127,principle,False
128,principle,True
129,deployment,True
130,principle,True
131,deployment,True
132,protocol,True
133,deployment,True
134,deployment,True
135,deployment,True
136,deployment,True
137,deployment,True
138,deployment,True
139,deployment,True
140,deployment,False
141,deployment,False
142,deployment,True
143,deployment,True
144,deployment,True
145,deployment,True
146,deployment,True
147,deployment,True
148,deployment,True
149,protocol,True
150,deployment,True
151,deployment,True
152,deployment,True
153,protocol,True
154,deployment,True
155,deployment,True
156,deployment,True
157,deployment,True
158,protocol,True
159,deployment,True
160,deployment,True
161,protocol,True
162,protocol,True
163,protocol,True
164,deployment,True
165,deployment,True
166,deployment,True
167,deployment,True
168,protocol,True
169,deployment,True
170,protocol,True
171,deployment,True
172,deployment,False
173,protocol,True
174,deployment,True
175,deployment,False
176,deployment,True
177,deployment,True
178,deployment,True
179,deployment,True
180,deployment,True
181,deployment,True
182,deployment,True
183,deployment,True
184,deployment,True
185,deployment,True
186,deployment,True
187,deployment,True
188,deployment,True
189,deployment,True
190,deployment,True
191,deployment,True
192,deployment,True
193,deployment,True
194,deployment,True
195,deployment,True
196,deployment,True
197,deployment,True
198,deployment,True
199,deployment,True
200,deployment,True
201,deployment,True
202,deployment,True
203,deployment,True
204,deployment,True
205,deployment,True
206,protocol,True
207,deployment,True
208,deployment,True
209,deployment,True
210,principle,True
211,protocol,True
212,deployment,True
213,deployment,True
214,protocol,True
215,protocol,True
216,protocol,True
217,deployment,True
218,deployment,True
219,protocol,True
220,protocol,True
221,deployment,True
222,deployment,True
223,protocol,True
224,deployment,True
225,deployment,True
226,principle,False
227,deployment,True
228,deployment,True
229,protocol,True
230,deployment,True
231,protocol,True
232,deployment,True
233,deployment,True
234,deployment,True
235,deployment,True
236,protocol,True
237,deployment,True
238,deployment,True
239,protocol,True
240,deployment,True
241,deployment,True
242,principle,False
243,deployment,True
244,protocol,True
245,protocol,True
246,principle,False
247,deployment,True
248,deployment,True
249,principle,True
250,protocol,True
251,deployment,True
252,protocol,True
253,deployment,True
254,protocol,True
255,protocol,True
256,deployment,True
257,deployment,True
258,principle,True
259,protocol,True
260,deployment,True
261,deployment,True
262,protocol,True
263,deployment,True
264,protocol,True
265,protocol,True
266,protocol,True
267,protocol,True
268,protocol,True
269,protocol,True
270,deployment,False
271,deployment,True
272,protocol,True
273,deployment,True
274,protocol,True
275,deployment,True
276,deployment,True
277,deployment,True
278,deployment,False
279,deployment,True
280,deployment,False
281,deployment,False
282,deployment,False
283,deployment,False
284,deployment,True
285,principle,True
286,deployment,True
287,protocol,False
288,deployment,True
289,protocol,True
290,principle,True
291,deployment,False
292,deployment,True
293,deployment,True
294,protocol,True
295,deployment,False
296,deployment,True
297,principle,True
298,protocol,True
299,protocol,False
300,deployment,True
301,deployment,True
302,deployment,True
303,principle,True
304,deployment,False
305,deployment,True
306,protocol,True
307,protocol,True
308,protocol,True
309,deployment,True
310,deployment,True
311,deployment,True
312,principle,True
313,deployment,True
314,protocol,True
315,protocol,True
316,deployment,True
317,protocol,True
318,deployment,True
319,deployment,True
320,principle,True
321,protocol,True
322,deployment,True
323,protocol,True
324,protocol,True
325,protocol,True
326,protocol,True
327,deployment,True
328,deployment,True
329,deployment,True
330,protocol,True
331,deployment,True
332,deployment,True
333,deployment,True
334,protocol,True
335,protocol,True
336,deployment,True
337,principle,True
338,deployment,True
339,deployment,True
340,deployment,True
341,deployment,True
342,deployment,True
343,deployment,True
344,deployment,True
345,deployment,True
346,deployment,True
347,deployment,True
348,deployment,True
349,deployment,True
350,deployment,True
351,deployment,True
352,deployment,True
353,protocol,True
354,deployment,True
355,deployment,True
356,deployment,True
357,deployment,True
358,deployment,True
359,deployment,True
360,deployment,True
361,deployment,True
362,deployment,True
363,deployment,True
364,deployment,True
365,deployment,True
366,deployment,True
367,deployment,True
368,deployment,True
369,deployment,True
370,deployment,True
371,deployment,True
372,deployment,True
373,deployment,True
374,deployment,True
375,deployment,True
376,deployment,True
377,deployment,True
378,deployment,True
379,deployment,True
380,deployment,True
381,deployment,True
382,deployment,True
383,deployment,False
384,deployment,True
385,deployment,True
386,deployment,True
387,deployment,True
388,deployment,True
389,deployment,True
390,deployment,True
391,deployment,True
392,deployment,True
393,deployment,True
394,deployment,True
395,deployment,True
396,deployment,True
397,deployment,True
398,deployment,True
399,deployment,True
400,deployment,True
401,deployment,True
402,deployment,True
403,deployment,True
404,deployment,True
405,deployment,True
406,deployment,True
407,deployment,True
408,deployment,True
409,deployment,False
410,deployment,True
411,protocol,True
412,deployment,True
413,deployment,True
414,deployment,True
415,principle,True
416,protocol,False
417,deployment,True
418,deployment,True
419,principle,True
420,deployment,True
421,deployment,True
422,deployment,False
423,deployment,True
424,deployment,True
425,deployment,True
426,deployment,False
427,deployment,True
428,protocol,False
429,deployment,True
430,deployment,True
431,deployment,True
432,principle,True
433,deployment,True
434,deployment,True
435,principle,True
436,principle,True
437,protocol,True
438,protocol,False
439,protocol,True
440,deployment,True
441,deployment,False
442,deployment,True
443,deployment,True
444,deployment,True
445,deployment,False
446,deployment,True
447,deployment,False
448,deployment,False
449,deployment,True
450,deployment,False
451,deployment,True
452,deployment,True
453,deployment,True
454,deployment,True
455,deployment,True
456,deployment,True
457,deployment,True
458,deployment,True
459,deployment,True
460,deployment,True
461,deployment,True
462,deployment,True
463,deployment,True
464,deployment,True
465,deployment,True
466,deployment,True
467,deployment,True
468,deployment,True
469,deployment,True
470,deployment,True
471,deployment,True
472,deployment,True
473,deployment,True
474,deployment,True
475,deployment,False
476,deployment,False
477,deployment,False
478,deployment,False
479,deployment,False
480,deployment,False
481,deployment,False
482,protocol,False
483,protocol,False
484,deployment,False
485,deployment,False
486,deployment,False
487,deployment,False
488,protocol,False
489,deployment,False
490,deployment,False
491,deployment,False
492,deployment,False
493,deployment,False
494,deployment,False
495,protocol,False
496,deployment,False
497,deployment,False
498,deployment,False
499,deployment,False
500,deployment,False
501,deployment,False
502,deployment,False
503,deployment,False
504,deployment,False
505,deployment,False
506,deployment,False
507,deployment,False
508,deployment,False
509,deployment,False
510,deployment,True
511,deployment,True
512,deployment,True
513,deployment,False
514,deployment,True
515,deployment,True
516,deployment,True
517,deployment,False
518,deployment,True
519,deployment,True
520,deployment,True
521,protocol,True
522,deployment,True
523,deployment,True
524,deployment,True
525,deployment,True
526,protocol,True
527,deployment,True
528,deployment,True
529,deployment,False
530,deployment,True
531,deployment,True
532,deployment,True
533,deployment,True
534,deployment,True
535,deployment,True
536,deployment,False
537,deployment,True
538,deployment,False
539,deployment,True
540,deployment,True
541,deployment,False
542,protocol,True
543,protocol,True
544,deployment,False
545,deployment,True
546,protocol,True
547,deployment,True
548,protocol,True
549,principle,True
550,principle,True
551,protocol,True
552,deployment,True
553,protocol,True
554,protocol,True
555,protocol,True
556,deployment,True
557,protocol,True
558,protocol,True
559,principle,True
560,deployment,True
561,protocol,True
562,deployment,True
563,protocol,True
564,protocol,True
565,principle,True
566,protocol,True
567,deployment,True
568,principle,True
569,protocol,True
570,principle,True
571,principle,True
572,principle,True
573,deployment,True
574,deployment,True
575,deployment,True
576,deployment,True
577,deployment,True
578,deployment,True
579,deployment,True
580,deployment,True
581,deployment,True
582,deployment,True
583,deployment,True
584,deployment,True
585,deployment,True
586,deployment,True
587,deployment,True
588,deployment,True
589,deployment,True
590,deployment,True
591,deployment,True
592,deployment,True
593,deployment,True
594,deployment,True
595,deployment,True
596,deployment,True
597,deployment,True
598,deployment,True
599,deployment,True
600,deployment,True
601,deployment,True
602,principle,True
603,deployment,False
604,deployment,True
605,deployment,True
606,deployment,True
607,deployment,True
608,protocol,True
609,deployment,False
610,deployment,False
611,deployment,False
612,deployment,True
613,deployment,True
614,deployment,True
615,deployment,True
616,deployment,True
617,deployment,True
618,protocol,True
619,deployment,True
620,deployment,False
621,deployment,True
622,deployment,True
623,deployment,True
624,deployment,True
625,deployment,True
626,deployment,True
627,deployment,True
628,protocol,True
629,deployment,True
630,protocol,True
631,deployment,False
632,deployment,False
633,protocol,True
634,deployment,True
635,deployment,False
636,deployment,True
637,protocol,True
638,deployment,True
639,deployment,True
640,deployment,True
641,deployment,True
642,deployment,True
643,deployment,False
644,deployment,True
645,deployment,True
646,deployment,True
647,deployment,False
648,deployment,False
649,deployment,True
650,deployment,True
651,protocol,True
652,deployment,True
653,deployment,True
654,deployment,True
655,deployment,True
656,deployment,True
657,deployment,True
658,deployment,True
659,deployment,True
660,deployment,True
661,principle,True
662,deployment,True
663,deployment,True
664,deployment,True
665,deployment,False
666,principle,True
667,deployment,True
668,deployment,True
669,deployment,True
670,deployment,True
671,protocol,True
672,deployment,True
673,deployment,True
674,protocol,False
675,protocol,False
676,protocol,False
677,deployment,True
678,protocol,True
679,deployment,True
680,protocol,False
681,deployment,True
682,protocol,True
683,protocol,False
684,deployment,True
685,protocol,False
686,protocol,True
687,protocol,False
688,deployment,True
689,protocol,True
690,protocol,False
691,protocol,True
692,deployment,True
693,protocol,False
694,deployment,True
695,protocol,False
696,protocol,False
697,protocol,True
698,deployment,True
699,protocol,False
700,protocol,True
701,protocol,True
702,deployment,True
703,deployment,True
704,protocol,True
705,deployment,True
706,protocol,True
707,deployment,False
708,deployment,True
709,protocol,False
710,protocol,True
711,protocol,False
712,deployment,True
713,deployment,True
714,deployment,False
715,deployment,False
716,deployment,True
717,protocol,True
718,deployment,False
719,principle,True
720,protocol,True
721,deployment,True
722,deployment,True
723,principle,True
724,deployment,False
725,deployment,True
726,deployment,True
727,protocol,True
728,deployment,True
729,protocol,True
730,deployment,True
731,protocol,True
732,protocol,True
733,deployment,False
734,deployment,True
735,deployment,True
736,deployment,True
737,deployment,True
738,protocol,True
739,deployment,False
740,deployment,True
741,deployment,False
742,deployment,True
743,deployment,True
744,deployment,False
745,deployment,True
746,deployment,True
747,protocol,True
748,principle,True
749,protocol,True
750,deployment,True
751,deployment,True
752,protocol,True
753,principle,True
754,deployment,True
755,deployment,True
756,deployment,True
757,deployment,True
758,deployment,False
759,deployment,True
760,protocol,True
761,protocol,True
762,protocol,True
763,deployment,True
764,deployment,True
765,deployment,True
766,deployment,True
767,principle,True
768,deployment,True
769,deployment,True
770,deployment,True
771,deployment,True
772,deployment,True
773,deployment,False
774,protocol,True
775,deployment,False
776,deployment,True
777,deployment,False
778,deployment,True
779,deployment,True
780,deployment,True
781,deployment,True
782,protocol,True
783,deployment,True
784,protocol,True
785,protocol,True
786,deployment,True
787,protocol,True
788,deployment,True
789,deployment,True
790,protocol,True
791,deployment,True
792,deployment,True
793,deployment,True
794,deployment,True
795,protocol,True
796,protocol,True
797,protocol,True
798,protocol,True
799,deployment,True
800,deployment,True
801,protocol,True
802,protocol,True
803,deployment,True
804,protocol,True
805,protocol,True
806,deployment,True
807,protocol,True
808,deployment,True
809,deployment,True
810,protocol,True
811,deployment,True
812,protocol,False
813,deployment,True
814,deployment,True
815,deployment,True
816,deployment,True
817,principle,True
818,protocol,True
819,deployment,False
820,deployment,True
821,protocol,True
822,deployment,True
823,protocol,True
824,deployment,True
825,deployment,True
826,protocol,True
827,deployment,True
828,principle,True
829,deployment,True
830,deployment,True
831,principle,True
832,protocol,True
833,protocol,True
834,principle,True
835,deployment,True
836,principle,True
837,deployment,True
838,protocol,True
839,deployment,True
840,deployment,True
841,deployment,False
842,deployment,True
843,principle,True
844,deployment,True
845,protocol,True
846,deployment,True
847,deployment,True
848,deployment,True
849,deployment,True
850,deployment,True
851,deployment,True
852,principle,True
853,deployment,True
854,principle,True
855,deployment,True
856,deployment,True
857,deployment,True
858,protocol,True
859,protocol,True
860,protocol,True
861,principle,True
862,deployment,True
863,principle,True
864,deployment,True
865,deployment,False
866,deployment,True
867,deployment,True
868,deployment,True
869,deployment,True
870,deployment,True
871,deployment,True
872,deployment,True
873,deployment,True
874,deployment,True
875,principle,True
876,deployment,True
877,deployment,True
878,deployment,True
879,protocol,True
880,deployment,True
881,principle,False
882,deployment,True
883,principle,False
884,deployment,True
885,deployment,True
886,deployment,True
887,deployment,True
888,deployment,True
889,deployment,True
890,deployment,True
891,principle,True
892,deployment,True
893,deployment,True
894,deployment,True
895,deployment,True
896,deployment,True
897,deployment,True
898,deployment,True
899,deployment,True
900,protocol,True
901,deployment,True
902,deployment,True
903,protocol,True
904,protocol,False
905,principle,True
906,protocol,True
907,deployment,True
908,protocol,True
909,deployment,True
910,principle,False
911,principle,False
912,protocol,True
